llgname,textdate,subscribers
Hulia Rural,20to25,0
Hulia Rural,Feb26,17
Hulia Rural,Feb27,86
Hulia Rural,Feb28,141
Hulia Rural,Mar01,635
Hulia Rural,Mar02,669
Hulia Rural,Mar03,632
Hulia Rural,Mar04,407
Hulia Rural,Mar05,325
Hulia Rural,Mar06,305
Hulia Rural,Mar07,298
Hulia Rural,Mar08,313
Hulia Rural,Mar09,315
Hulia Rural,Mar10,297
Hulia Rural,Mar11,532
Hulia Rural,Mar12,324
Hulia Rural,Mar13,305
Hulia Rural,Mar14,326
Hulia Rural,Mar15,304
Hulia Rural,Mar16,328
Hulia Rural,Mar17,328
Hulia Rural,Mar18,363
Hulia Rural,Mar19,364
Hulia Rural,Mar20,325
Hulia Rural,Mar21,353
Hulia Rural,Mar22,291
Hulia Rural,Mar23,296
Hulia Rural,Mar24,278
Hulia Rural,Mar25,330
Hulia Rural,Mar26,159
Hulia Rural,Mar27,128
Kiunga Rural,20to25,0
Kiunga Rural,Feb26,2
Kiunga Rural,Feb27,3
Kiunga Rural,Feb28,3
Kiunga Rural,Mar01,2
Kiunga Rural,Mar02,2
Kiunga Rural,Mar03,3
Kiunga Rural,Mar04,1
Kiunga Rural,Mar05,1
Kiunga Rural,Mar06,1
Kiunga Rural,Mar07,2
Kiunga Rural,Mar08,2
Kiunga Rural,Mar09,2
Kiunga Rural,Mar10,2
Kiunga Rural,Mar11,2
Kiunga Rural,Mar12,2
Kiunga Rural,Mar13,2
Kiunga Rural,Mar14,2
Kiunga Rural,Mar15,3
Kiunga Rural,Mar16,1
Kiunga Rural,Mar17,2
Kiunga Rural,Mar18,2
Kiunga Rural,Mar19,2
Kiunga Rural,Mar20,1
Kiunga Rural,Mar21,2
Kiunga Rural,Mar22,1
Kiunga Rural,Mar23,1
Kiunga Rural,Mar24,4
Kiunga Rural,Mar25,3
Kiunga Rural,Mar26,0
Kiunga Rural,Mar27,2
Komo Rural,20to25,0
Komo Rural,Feb26,24
Komo Rural,Feb27,65
Komo Rural,Feb28,91
Komo Rural,Mar01,89
Komo Rural,Mar02,75
Komo Rural,Mar03,74
Komo Rural,Mar04,69
Komo Rural,Mar05,89
Komo Rural,Mar06,68
Komo Rural,Mar07,77
Komo Rural,Mar08,83
Komo Rural,Mar09,112
Komo Rural,Mar10,95
Komo Rural,Mar11,71
Komo Rural,Mar12,89
Komo Rural,Mar13,82
Komo Rural,Mar14,66
Komo Rural,Mar15,90
Komo Rural,Mar16,109
Komo Rural,Mar17,105
Komo Rural,Mar18,85
Komo Rural,Mar19,74
Komo Rural,Mar20,70
Komo Rural,Mar21,93
Komo Rural,Mar22,83
Komo Rural,Mar23,106
Komo Rural,Mar24,73
Komo Rural,Mar25,95
Komo Rural,Mar26,55
